Image,Frequency,Left,Top,Spatial Spread,Duration,Area,Interval
 ,15.0,2.0,571.0,95.0,15.0,1013.0,474.0
 ,16.0,0.0,574.0,1.0,1.0,1.0,573.0
 ,17.0,59.0,585.0,4.0,2.0,5.0,522.0
 ,18.0,0.0,630.0,99.0,25.0,1675.0,531.0
 ,19.0,63.0,653.0,1.0,1.0,1.0,589.0
 ,20.0,0.0,703.0,105.0,26.0,1647.0,598.0
 ,21.0,0.0,771.0,105.0,23.0,1280.0,666.0
 ,22.0,0.0,837.0,105.0,24.0,1360.0,732.0
 ,23.0,38.0,852.0,1.0,1.0,1.0,813.0
 ,24.0,0.0,904.0,99.0,17.0,1117.0,805.0
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_SECRETIN 500NM_4 AREA1_STMapCell.jpg,1.0,75.0,2.0,6.0,2.0,8.0,79.0
 ,2.0,0.0,5.0,105.0,24.0,1494.0,100.0
 ,3.0,78.0,6.0,8.0,1.0,8.0,80.0
 ,4.0,27.0,21.0,2.0,1.0,2.0,8.0
 ,5.0,79.0,56.0,5.0,2.0,8.0,28.0
 ,6.0,42.0,63.0,4.0,1.0,4.0,17.0
 ,7.0,0.0,66.0,105.0,25.0,1899.0,39.0
 ,8.0,82.0,67.0,5.0,1.0,5.0,20.0
 ,9.0,19.0,91.0,1.0,1.0,1.0,71.0
 ,10.0,41.0,104.0,1.0,2.0,2.0,62.0
 ,11.0,0.0,124.0,105.0,24.0,1747.0,19.0
 ,12.0,27.0,124.0,1.0,1.0,1.0,96.0
 ,13.0,41.0,159.0,3.0,3.0,7.0,115.0
 ,14.0,45.0,160.0,1.0,1.0,1.0,114.0
 ,15.0,82.0,177.0,23.0,10.0,100.0,72.0
 ,16.0,0.0,184.0,105.0,26.0,1533.0,79.0
 ,17.0,96.0,188.0,1.0,1.0,1.0,91.0
 ,18.0,0.0,238.0,105.0,21.0,1472.0,133.0
 ,19.0,63.0,258.0,1.0,1.0,1.0,194.0
 ,20.0,0.0,293.0,105.0,27.0,1861.0,188.0
 ,21.0,56.0,295.0,4.0,1.0,4.0,235.0
 ,22.0,23.0,309.0,1.0,1.0,1.0,285.0
 ,23.0,0.0,328.0,1.0,1.0,1.0,327.0
 ,24.0,0.0,330.0,1.0,2.0,2.0,329.0
 ,25.0,65.0,334.0,5.0,2.0,8.0,264.0
 ,26.0,0.0,346.0,105.0,28.0,1603.0,241.0
 ,27.0,68.0,349.0,2.0,1.0,2.0,279.0
 ,28.0,78.0,351.0,2.0,1.0,2.0,271.0
 ,29.0,64.0,369.0,9.0,3.0,14.0,296.0
 ,30.0,94.0,369.0,7.0,1.0,7.0,268.0
 ,31.0,0.0,407.0,105.0,22.0,1516.0,302.0
 ,32.0,42.0,442.0,4.0,2.0,8.0,396.0
 ,33.0,0.0,463.0,105.0,19.0,1440.0,358.0
 ,34.0,16.0,498.0,2.0,3.0,4.0,480.0
 ,35.0,0.0,500.0,1.0,1.0,1.0,499.0
 ,36.0,63.0,502.0,4.0,3.0,9.0,435.0
 ,37.0,101.0,503.0,1.0,1.0,1.0,401.0
 ,38.0,63.0,506.0,4.0,3.0,7.0,439.0
 ,39.0,69.0,512.0,2.0,2.0,4.0,441.0
 ,40.0,0.0,514.0,105.0,25.0,1519.0,409.0
 ,41.0,54.0,534.0,1.0,1.0,1.0,479.0
 ,42.0,47.0,537.0,1.0,1.0,1.0,489.0
 ,43.0,94.0,539.0,6.0,1.0,6.0,439.0
 ,44.0,104.0,541.0,1.0,1.0,1.0,436.0
 ,45.0,87.0,542.0,2.0,1.0,2.0,453.0
 ,46.0,0.0,554.0,11.0,8.0,54.0,543.0
 ,47.0,27.0,554.0,13.0,3.0,26.0,514.0
 ,48.0,79.0,573.0,3.0,1.0,3.0,491.0
 ,49.0,0.0,574.0,105.0,20.0,1364.0,469.0
 ,50.0,82.0,578.0,1.0,1.0,1.0,495.0
 ,51.0,88.0,621.0,5.0,5.0,16.0,528.0
 ,52.0,91.0,627.0,2.0,2.0,3.0,534.0
 ,53.0,84.0,631.0,4.0,1.0,4.0,543.0
 ,54.0,0.0,632.0,105.0,19.0,1335.0,527.0
 ,55.0,68.0,656.0,3.0,1.0,3.0,585.0
 ,56.0,4.0,668.0,3.0,1.0,3.0,661.0
 ,57.0,4.0,671.0,1.0,1.0,1.0,666.0
 ,58.0,0.0,688.0,105.0,21.0,1548.0,583.0
 ,59.0,83.0,688.0,2.0,2.0,4.0,603.0
 ,60.0,0.0,749.0,105.0,21.0,1629.0,644.0
 ,61.0,41.0,767.0,2.0,2.0,3.0,724.0
 ,62.0,44.0,767.0,2.0,1.0,2.0,721.0
 ,63.0,10.0,801.0,4.0,1.0,4.0,787.0
 ,64.0,0.0,809.0,105.0,26.0,1785.0,704.0
 ,65.0,63.0,833.0,1.0,2.0,2.0,769.0
 ,66.0,6.0,849.0,6.0,2.0,9.0,837.0
 ,67.0,0.0,866.0,105.0,24.0,1699.0,761.0
 ,68.0,41.0,913.0,1.0,2.0,2.0,871.0
 ,69.0,81.0,926.0,1.0,1.0,1.0,844.0
 ,70.0,0.0,926.0,105.0,27.0,1542.0,821.0
702830_original_S_41_T_6_C_41-28-21_KITGCaMPKI_TTX1UM_NICARD200NM_SECRETIN 500NM_5 AREA1_STMapCell.jpg,1.0,5.0,0.0,55.0,15.0,540.0,60.0
 ,2.0,63.0,0.0,1.0,1.0,1.0,64.0
 ,3.0,65.0,0.0,40.0,8.0,254.0,105.0
 ,4.0,61.0,3.0,3.0,6.0,10.0,61.0
 ,5.0,10.0,8.0,1.0,1.0,1.0,3.0
 ,6.0,83.0,11.0,9.0,2.0,13.0,81.0
 ,7.0,86.0,14.0,5.0,2.0,6.0,77.0
 ,8.0,4.0,51.0,101.0,21.0,1285.0,54.0
 ,9.0,62.0,54.0,2.0,1.0,2.0,10.0
 ,10.0,0.0,64.0,1.0,1.0,1.0,63.0
 ,11.0,66.0,71.0,2.0,1.0,2.0,3.0
 ,12.0,91.0,89.0,1.0,1.0,1.0,3.0
 ,13.0,69.0,95.0,6.0,1.0,6.0,20.0
 ,14.0,0.0,111.0,105.0,24.0,1637.0,6.0
 ,15.0,63.0,132.0,8.0,4.0,26.0,61.0
 ,16.0,86.0,164.0,19.0,3.0,38.0,59.0
 ,17.0,0.0,169.0,105.0,32.0,1696.0,64.0
 ,18.0,65.0,191.0,6.0,1.0,6.0,120.0
 ,19.0,64.0,193.0,7.0,2.0,11.0,122.0
 ,20.0,45.0,216.0,2.0,2.0,4.0,169.0
 ,21.0,0.0,221.0,105.0,32.0,1657.0,116.0
 ,22.0,9.0,221.0,3.0,2.0,4.0,209.0
 ,23.0,78.0,221.0,1.0,1.0,1.0,142.0
 ,24.0,80.0,221.0,1.0,1.0,1.0,140.0
 ,25.0,0.0,227.0,1.0,1.0,1.0,226.0
 ,26.0,38.0,228.0,2.0,1.0,2.0,188.0
 ,27.0,34.0,243.0,1.0,1.0,1.0,208.0
 ,28.0,0.0,286.0,105.0,20.0,1524.0,181.0
 ,29.0,7.0,344.0,35.0,21.0,358.0,302.0
 ,30.0,39.0,344.0,66.0,25.0,809.0,239.0
 ,31.0,70.0,370.0,10.0,2.0,13.0,290.0
 ,32.0,85.0,385.0,2.0,1.0,2.0,298.0
 ,33.0,91.0,391.0,1.0,1.0,1.0,299.0
 ,34.0,4.0,401.0,31.0,16.0,209.0,366.0
 ,35.0,40.0,406.0,65.0,27.0,741.0,301.0
 ,36.0,41.0,414.0,1.0,2.0,2.0,372.0
 ,37.0,63.0,420.0,1.0,1.0,1.0,356.0
 ,38.0,68.0,421.0,33.0,11.0,252.0,320.0
 ,39.0,34.0,427.0,1.0,1.0,1.0,392.0
 ,40.0,44.0,432.0,3.0,1.0,3.0,385.0
 ,41.0,80.0,458.0,9.0,2.0,13.0,369.0
 ,42.0,0.0,463.0,105.0,27.0,1550.0,358.0
 ,43.0,16.0,479.0,1.0,1.0,1.0,462.0
 ,44.0,53.0,499.0,1.0,1.0,1.0,445.0
 ,45.0,57.0,500.0,1.0,1.0,1.0,442.0
 ,46.0,57.0,502.0,3.0,2.0,3.0,442.0
 ,47.0,61.0,503.0,1.0,1.0,1.0,441.0
 ,48.0,74.0,505.0,3.0,3.0,5.0,428.0
 ,49.0,0.0,522.0,105.0,20.0,1427.0,417.0
 ,50.0,97.0,560.0,6.0,1.0,6.0,457.0
 ,51.0,104.0,560.0,1.0,1.0,1.0,455.0
 ,52.0,101.0,562.0,1.0,2.0,2.0,460.0
 ,53.0,82.0,576.0,7.0,1.0,7.0,487.0
 ,54.0,0.0,578.0,105.0,24.0,1521.0,473.0
 ,55.0,52.0,579.0,1.0,1.0,1.0,526.0
 ,56.0,87.0,624.0,1.0,1.0,1.0,536.0
 ,57.0,35.0,637.0,1.0,1.0,1.0,601.0
 ,58.0,4.0,639.0,5.0,2.0,6.0,630.0
 ,59.0,0.0,642.0,105.0,20.0,1202.0,537.0
 ,60.0,18.0,642.0,1.0,1.0,1.0,623.0
 ,61.0,67.0,657.0,4.0,2.0,5.0,586.0
 ,62.0,81.0,659.0,1.0,2.0,2.0,577.0
 ,63.0,83.0,659.0,1.0,1.0,1.0,575.0
 ,64.0,73.0,668.0,2.0,1.0,2.0,593.0
 ,65.0,0.0,695.0,105.0,19.0,1289.0,590.0
 ,66.0,34.0,694.0,9.0,2.0,10.0,651.0
 ,67.0,84.0,697.0,8.0,1.0,8.0,605.0
 ,68.0,75.0,728.0,7.0,4.0,16.0,646.0
 ,69.0,0.0,755.0,105.0,18.0,1318.0,650.0
 ,70.0,84.0,779.0,9.0,3.0,18.0,686.0
 ,71.0,84.0,795.0,12.0,7.0,39.0,699.0
 ,72.0,46.0,800.0,7.0,2.0,12.0,747.0
 ,73.0,68.0,802.0,4.0,3.0,10.0,730.0
 ,74.0,0.0,809.0,58.0,23.0,504.0,751.0
 ,75.0,72.0,809.0,1.0,1.0,1.0,736.0
 ,76.0,63.0,816.0,42.0,14.0,455.0,711.0
 ,77.0,60.0,818.0,2.0,1.0,2.0,756.0
 ,78.0,0.0,867.0,63.0,18.0,878.0,804.0
 ,79.0,64.0,867.0,41.0,19.0,614.0,762.0
 ,80.0,59.0,882.0,4.0,1.0,4.0,819.0
 ,81.0,51.0,886.0,1.0,1.0,1.0,834.0
 ,82.0,89.0,909.0,3.0,2.0,6.0,817.0
 ,83.0,65.0,912.0,6.0,2.0,10.0,841.0
 ,84.0,89.0,917.0,1.0,1.0,1.0,827.0
 ,85.0,91.0,917.0,1.0,1.0,1.0,825.0
 ,86.0,0.0,927.0,60.0,18.0,715.0,867.0
 ,87.0,55.0,930.0,50.0,15.0,448.0,825.0
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell.jpg,1.0,36.0,0.0,19.0,4.0,53.0,55.0
 ,2.0,0.0,30.0,105.0,18.0,1264.0,75.0
 ,3.0,0.0,82.0,105.0,17.0,1263.0,23.0
 ,4.0,0.0,135.0,105.0,15.0,1216.0,30.0
 ,5.0,41.0,151.0,5.0,1.0,5.0,105.0
 ,6.0,0.0,189.0,105.0,14.0,1199.0,84.0
 ,7.0,36.0,214.0,18.0,6.0,77.0,160.0
 ,8.0,0.0,241.0,105.0,15.0,1145.0,136.0
 ,9.0,31.0,263.0,21.0,9.0,119.0,211.0
 ,10.0,0.0,294.0,105.0,23.0,1423.0,189.0
 ,11.0,40.0,328.0,10.0,6.0,40.0,278.0
 ,12.0,0.0,346.0,105.0,17.0,1163.0,241.0
 ,13.0,0.0,398.0,105.0,24.0,1523.0,293.0
 ,14.0,0.0,452.0,105.0,22.0,1664.0,347.0
 ,15.0,87.0,452.0,10.0,2.0,15.0,355.0
 ,16.0,0.0,502.0,105.0,21.0,1456.0,397.0
 ,17.0,0.0,559.0,105.0,13.0,1137.0,454.0
 ,18.0,6.0,574.0,91.0,14.0,712.0,477.0
 ,19.0,0.0,610.0,105.0,16.0,970.0,505.0
 ,20.0,6.0,623.0,56.0,11.0,459.0,561.0
 ,21.0,0.0,663.0,105.0,22.0,1335.0,558.0
 ,22.0,34.0,683.0,6.0,2.0,8.0,643.0
 ,23.0,0.0,718.0,105.0,24.0,1759.0,613.0
 ,24.0,84.0,772.0,5.0,1.0,5.0,683.0
 ,25.0,47.0,775.0,2.0,1.0,2.0,726.0
 ,26.0,0.0,775.0,105.0,21.0,1260.0,670.0
 ,27.0,86.0,824.0,8.0,2.0,12.0,730.0
 ,28.0,0.0,827.0,105.0,13.0,1116.0,722.0
 ,29.0,55.0,842.0,42.0,11.0,326.0,745.0
 ,30.0,0.0,882.0,105.0,21.0,1428.0,777.0
 ,31.0,33.0,902.0,21.0,10.0,145.0,848.0
 ,32.0,0.0,935.0,105.0,24.0,1489.0,830.0
 ,33.0,3.0,955.0,28.0,11.0,239.0,924.0
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell1 copy 3.jpg,1.0,23.0,0.0,37.0,6.0,171.0,60.0
 ,2.0,83.0,0.0,13.0,3.0,33.0,96.0
 ,3.0,0.0,31.0,105.0,18.0,1263.0,74.0
 ,4.0,95.0,30.0,6.0,2.0,7.0,71.0
 ,5.0,102.0,31.0,3.0,1.0,3.0,74.0
 ,6.0,78.0,50.0,12.0,4.0,25.0,40.0
 ,7.0,28.0,76.0,10.0,3.0,21.0,38.0
 ,8.0,5.0,79.0,1.0,1.0,1.0,73.0
 ,9.0,0.0,82.0,105.0,23.0,1525.0,23.0
 ,10.0,0.0,131.0,105.0,23.0,1441.0,26.0
 ,11.0,52.0,133.0,5.0,1.0,5.0,76.0
 ,12.0,66.0,133.0,8.0,1.0,8.0,59.0
 ,13.0,86.0,132.0,5.0,2.0,9.0,41.0
 ,14.0,96.0,133.0,2.0,1.0,2.0,35.0
 ,15.0,76.0,153.0,1.0,1.0,1.0,76.0
 ,16.0,78.0,153.0,1.0,1.0,1.0,74.0
 ,17.0,77.0,155.0,1.0,1.0,1.0,77.0
 ,18.0,0.0,170.0,2.0,2.0,3.0,168.0
 ,19.0,64.0,187.0,3.0,2.0,4.0,120.0
 ,20.0,0.0,189.0,105.0,21.0,1278.0,84.0
 ,21.0,31.0,213.0,28.0,9.0,203.0,154.0
 ,22.0,0.0,241.0,105.0,18.0,1268.0,136.0
 ,23.0,28.0,260.0,26.0,13.0,201.0,206.0
 ,24.0,0.0,293.0,105.0,25.0,1726.0,188.0
 ,25.0,24.0,292.0,2.0,1.0,2.0,266.0
 ,26.0,33.0,325.0,19.0,12.0,163.0,273.0
 ,27.0,0.0,344.0,105.0,21.0,1454.0,239.0
 ,28.0,0.0,397.0,105.0,26.0,1605.0,292.0
 ,29.0,0.0,449.0,105.0,26.0,1843.0,344.0
 ,30.0,84.0,450.0,12.0,3.0,19.0,354.0
 ,31.0,0.0,501.0,105.0,23.0,1758.0,396.0
 ,32.0,0.0,557.0,105.0,16.0,1307.0,452.0
 ,33.0,6.0,574.0,99.0,15.0,884.0,469.0
 ,34.0,0.0,608.0,105.0,28.0,1776.0,503.0
 ,35.0,86.0,610.0,15.0,2.0,20.0,509.0
 ,36.0,104.0,610.0,1.0,1.0,1.0,505.0
 ,37.0,72.0,660.0,4.0,2.0,7.0,584.0
 ,38.0,0.0,663.0,105.0,23.0,1526.0,558.0
 ,39.0,29.0,680.0,35.0,10.0,215.0,616.0
 ,40.0,0.0,714.0,105.0,30.0,2101.0,609.0
 ,41.0,0.0,738.0,2.0,3.0,5.0,736.0
 ,42.0,2.0,775.0,1.0,1.0,1.0,772.0
 ,43.0,0.0,775.0,105.0,21.0,1311.0,670.0
 ,44.0,62.0,791.0,15.0,4.0,40.0,714.0
 ,45.0,28.0,823.0,9.0,2.0,10.0,786.0
 ,46.0,0.0,827.0,105.0,14.0,1177.0,722.0
 ,47.0,46.0,842.0,52.0,14.0,530.0,744.0
 ,48.0,0.0,874.0,105.0,39.0,2091.0,769.0
 ,49.0,0.0,899.0,5.0,5.0,22.0,894.0
 ,50.0,0.0,932.0,105.0,28.0,1844.0,827.0
 ,51.0,3.0,956.0,31.0,10.0,256.0,922.0
702830_original_S_41_T_6_C_43-1-31_GCaMPKI_Duodenum_TTX1uM_CNTRL1_A2_STMapCell1 copy.jpg,1.0,33.0,0.0,18.0,5.0,51.0,51.0
 ,2.0,44.0,6.0,1.0,1.0,1.0,39.0
 ,3.0,0.0,31.0,105.0,16.0,1007.0,74.0
 ,4.0,20.0,63.0,1.0,1.0,1.0,42.0
 ,5.0,0.0,82.0,105.0,20.0,1181.0,23.0
 ,6.0,67.0,97.0,1.0,1.0,1.0,29.0
 ,7.0,72.0,96.0,1.0,1.0,1.0,23.0
 ,8.0,48.0,99.0,17.0,6.0,66.0,34.0
 ,9.0,22.0,134.0,1.0,1.0,1.0,111.0
 ,10.0,0.0,135.0,105.0,15.0,1117.0,30.0
 ,11.0,68.0,148.0,6.0,3.0,13.0,74.0
 ,12.0,0.0,188.0,105.0,14.0,1023.0,83.0
 ,13.0,46.0,207.0,1.0,1.0,1.0,160.0
 ,14.0,37.0,209.0,1.0,1.0,1.0,171.0
 ,15.0,31.0,212.0,24.0,10.0,174.0,157.0
 ,16.0,55.0,214.0,3.0,1.0,3.0,156.0
 ,17.0,0.0,241.0,105.0,14.0,1054.0,136.0
 ,18.0,55.0,252.0,1.0,1.0,1.0,196.0
 ,19.0,53.0,255.0,1.0,1.0,1.0,201.0
 ,20.0,23.0,257.0,30.0,15.0,219.0,204.0
 ,21.0,0.0,294.0,105.0,24.0,1163.0,189.0
 ,22.0,81.0,309.0,1.0,1.0,1.0,227.0
 ,23.0,60.0,310.0,7.0,1.0,7.0,243.0
 ,24.0,36.0,320.0,4.0,2.0,5.0,280.0
 ,25.0,37.0,327.0,14.0,9.0,64.0,276.0
 ,26.0,0.0,345.0,105.0,18.0,916.0,240.0
 ,27.0,18.0,345.0,3.0,1.0,3.0,324.0
 ,28.0,0.0,398.0,105.0,12.0,917.0,293.0
 ,29.0,5.0,411.0,49.0,13.0,424.0,357.0
 ,30.0,55.0,418.0,1.0,1.0,1.0,362.0
 ,31.0,59.0,420.0,4.0,1.0,4.0,357.0
 ,32.0,42.0,423.0,1.0,1.0,1.0,380.0
 ,33.0,61.0,423.0,1.0,1.0,1.0,361.0
 ,34.0,36.0,424.0,2.0,1.0,2.0,386.0
 ,35.0,37.0,426.0,2.0,1.0,2.0,387.0
 ,36.0,0.0,451.0,105.0,24.0,1495.0,346.0
 ,37.0,71.0,473.0,4.0,1.0,4.0,398.0
 ,38.0,0.0,504.0,105.0,20.0,1359.0,399.0
 ,39.0,63.0,526.0,2.0,1.0,2.0,461.0
 ,40.0,0.0,558.0,105.0,13.0,966.0,453.0
 ,41.0,8.0,574.0,88.0,15.0,737.0,478.0
 ,42.0,0.0,613.0,105.0,23.0,1286.0,508.0
 ,43.0,64.0,657.0,1.0,1.0,1.0,592.0
 ,44.0,66.0,657.0,4.0,1.0,4.0,587.0
 ,45.0,59.0,659.0,1.0,1.0,1.0,599.0
 ,46.0,0.0,662.0,105.0,17.0,1120.0,557.0
 ,47.0,30.0,676.0,5.0,1.0,5.0,641.0
 ,48.0,36.0,676.0,1.0,1.0,1.0,639.0
 ,49.0,85.0,677.0,1.0,1.0,1.0,591.0
 ,50.0,97.0,676.0,6.0,2.0,8.0,573.0
 ,51.0,104.0,677.0,1.0,1.0,1.0,572.0
 ,52.0,43.0,679.0,4.0,1.0,4.0,632.0
 ,53.0,73.0,678.0,1.0,1.0,1.0,604.0
 ,54.0,69.0,679.0,30.0,8.0,115.0,580.0
 ,55.0,31.0,681.0,13.0,5.0,36.0,637.0
 ,56.0,0.0,719.0,101.0,23.0,1329.0,618.0
 ,57.0,30.0,719.0,2.0,1.0,2.0,687.0
 ,58.0,97.0,719.0,8.0,1.0,8.0,614.0
 ,59.0,101.0,724.0,4.0,1.0,4.0,619.0
 ,60.0,57.0,734.0,5.0,1.0,5.0,672.0
 ,61.0,37.0,742.0,1.0,1.0,1.0,704.0
 ,62.0,35.0,747.0,7.0,3.0,12.0,705.0
 ,63.0,41.0,746.0,2.0,1.0,2.0,703.0
 ,64.0,0.0,773.0,105.0,23.0,1199.0,668.0
 ,65.0,4.0,775.0,2.0,1.0,2.0,769.0
 ,66.0,67.0,790.0,3.0,2.0,4.0,720.0
 ,67.0,54.0,794.0,1.0,1.0,1.0,739.0
 ,68.0,34.0,797.0,7.0,1.0,7.0,756.0
 ,69.0,37.0,820.0,23.0,4.0,65.0,760.0
 ,70.0,42.0,823.0,1.0,1.0,1.0,780.0
 ,71.0,29.0,824.0,7.0,1.0,7.0,788.0
 ,72.0,0.0,825.0,105.0,14.0,1083.0,720.0
 ,73.0,49.0,842.0,40.0,12.0,299.0,753.0
 ,74.0,48.0,846.0,9.0,2.0,13.0,789.0
 ,75.0,0.0,877.0,105.0,26.0,1242.0,772.0
 ,76.0,36.0,883.0,1.0,1.0,1.0,846.0
 ,77.0,46.0,898.0,1.0,1.0,1.0,851.0
 ,78.0,31.0,902.0,24.0,12.0,162.0,847.0
 ,79.0,52.0,902.0,3.0,2.0,5.0,847.0
 ,80.0,56.0,907.0,1.0,1.0,1.0,850.0
 ,81.0,50.0,910.0,16.0,5.0,47.0,844.0
 ,82.0,67.0,910.0,1.0,1.0,1.0,842.0
 ,83.0,0.0,935.0,102.0,25.0,1213.0,833.0
